#!,Workbook:,Custom,Custom
#!,To play this data back: Open the original Excel workbook file then click the *Import Data File* button in the *Data Streamer* ribbon and navigate to this file.
#!,For more information visit http://aka.ms/hackingstem/
170403,0.75,0.78,0.72
170604,0.75,0.78,0.72
170806,0.76,0.78,0.72
171008,0.75,0.78,0.72
171209,0.75,0.78,0.72
171410,0.75,0.78,0.72
171612,0.75,0.78,0.72
171813,0.76,0.78,0.72
172015,0.76,0.78,0.72
172216,0.76,0.78,0.72
172418,0.76,0.78,0.72
172619,0.76,0.78,0.72
172821,0.76,0.78,0.72
173022,0.76,0.78,0.72
173223,0.76,0.78,0.72
